Data	Nr. Operações	Volume	Média	Fator Diário	Mínima	Máxima	Moda	Dsv Pdr	Taxa SELIC
06/09/2016	5	2460510,91	14,13	1,00052461	-	-	-	-	14,15
08/09/2016	5	2406679,93	14,13	1,00052461	-	-	-	-	14,15
09/09/2016	7	2405617	14,13	1,00052461	-	-	-	-	14,15
12/09/2016	9	2398161,01	14,13	1,00052461	-	-	-	-	14,15
13/09/2016	8	2369149,81	14,13	1,00052461	-	-	-	-	14,15
14/09/2016	8	2338765,72	14,13	1,00052461	-	-	-	-	14,15
15/09/2016	7	2327800,27	14,13	1,00052461	-	-	-	-	14,15
16/09/2016	7	2319497,48	14,13	1,00052461	-	-	-	-	14,15
19/09/2016	6	2288224,52	14,13	1,00052461	-	-	-	-	14,15
20/09/2016	5	2268330,75	14,13	1,00052461	-	-	-	-	14,15
21/09/2016	8	2275565,95	14,13	1,00052461	-	-	-	-	14,15
22/09/2016	9	2261897,6	14,13	1,00052461	-	-	-	-	14,15
23/09/2016	8	2255185,8	14,13	1,00052461	-	-	-	-	14,15
26/09/2016	7	2252150,52	14,13	1,00052461	-	-	-	-	14,15
27/09/2016	8	2220463,3	14,13	1,00052461	-	-	-	-	14,15
28/09/2016	6	2181073,14	14,13	1,00052461	-	-	-	-	14,15
29/09/2016	7	2184006,12	14,13	1,00052461	-	-	-	-	14,15
30/09/2016	5	2167462,11	14,13	1,00052461	-	-	-	-	14,15
03/10/2016	7	2196282,23	14,13	1,00052461	-	-	-	-	14,15
04/10/2016	6	2228731,81	14,13	1,00052461	-	-	-	-	14,15
05/10/2016	6	2528145,23	14,13	1,00052461	-	-	-	-	14,15
06/10/2016	6	2489266,65	14,13	1,00052461	-	-	-	-	14,15
07/10/2016	6	2460370,39	14,13	1,00052461	-	-	-	-	14,15
10/10/2016	7	2460630,61	14,13	1,00052461	-	-	-	-	14,15
11/10/2016	7	2433068,58	14,13	1,00052461	-	-	-	-	14,15
13/10/2016	9	2429224,22	14,13	1,00052461	-	-	-	-	14,15
14/10/2016	7	2378556,07	14,13	1,00052461	-	-	-	-	14,15
